0.000000000,N
0.046439909,Ddim
1.207437642,G7
1.486077098,Cmaj7
2.182675737,B7
3.250793651,Am
4.226031746,D6
4.969070295,Am
5.479909297,D
6.408707483,G6
6.965986395,C
7.709024943,A
9.938140590,G
10.681179138,Am
11.517097506,A7
13.467573696,D/A
14.024852608,Bbmaj7
14.767891156,G
15.557369615,Dm7
16.161088435,A
17.182766440,Gm
17.740045351,A7
20.758639456,A
21.919637188,D
22.476916100,Dm
23.219954649,F#aug
23.777233560,Bm7b5
25.216870748,C
25.913469388,E
26.517188209,Dm
27.260226757,Em7
28.096145125,Dm
28.699863946,Fmaj7
29.117823129,F#m7b5
29.442902494,Bm
30.000181406,G
32.461496599,C/G
33.204535147,G7
36.037369615,A7
36.919727891,Am
39.706122449,G
40.727800454,A
41.703038549,Bm7b5/A
42.213877551,Am
42.910476190,Amaj7
43.514195011,D
44.025034014,G
44.953832200,C/G
45.232471655,F
46.672108844,C
47.182947846,E
47.740226757,Dm
48.483265306,Em7
49.319183673,Dm
49.969342404,Fmaj7
50.526621315,Bm
51.594739229,Abm
53.916734694,Abaug
54.288253968,Am
54.706213152,Bm7b5/A
55.217052154,E
55.960090703,Eaug
56.703129252,Em7
57.446167800,C
58.746485261,G
59.953922902,C
62.043718821,G
63.158276644,C
64.737233560,G7
65.573151927,C
66.269750567,G7
66.827029478,Cmaj7
68.452426304,Am
69.009705215,Amaj7
69.613424036,E7
70.681541950,Am
74.025215420,Amaj7
75.186213152,E7
75.975691610,Am
77.972607710,Em
78.762086168,F
79.969523810,Em
80.573242630,F
82.245079365,Bm7b5
82.941678005,Fmaj7
83.731156463,Dm
84.474195011,Em
85.077913832,F
88.468027211,Bm7b5
89.164625850,Fmaj7
90.279183673,B
91.161541950,Bdim
94.180136054,Abdim
95.759092971,Ddim
97.895328798,Bm7b5
98.545487528,A
99.752925170,A7
101.192562358,Am
102.864399093,G
104.489795918,F
105.882993197,C
106.393832200,E
106.997551020,Dm
107.740589569,Em7
108.576507937,Dm
109.226666667,Fmaj7
109.737505669,Bm
110.526984127,G
112.941859410,C/G
113.684897959,G7
116.517732426,A7
117.446530612,Am
120.186485261,G
121.208163265,A
122.229841270,Bm7b5/A
122.694240363,Am
123.437278912,Amaj7
123.994557823,D
124.551836735,G
127.431111111,N